Customer,Address,Depot_Assignment,Latitude,Longitude
ST570,1226 Robinson Ave  El Paso  TX 78602,Outside Radius,31.73,-106.4342
ST571,1290 Price St  Austin  TX 78875,Outside Radius,30.1901,-97.6917
ST572,8795 Long Rd  Austin  TX 79795,Outside Radius,30.342,-97.7831
ST573,2611 Hall Ave  Houston  TX 78621,Outside Radius,29.836,-95.2886
ST574,3911 Moore Dr  Slidell  LA 79580,Outside Radius,30.1839,-89.7488
ST575,553 Mitchell Ave  Corpus Christi  TX 77958,Outside Radius,27.7916,-97.3271
ST576,5304 Foster Ave  Baton Rouge  LA 76611,Outside Radius,30.5406,-91.2481
ST577,9812 Rivera Ave  Lubbock  TX 79085,Outside Radius,33.4877,-101.8912
ST578,315 Hall Ave  El Paso  TX 77923,Outside Radius,31.8026,-106.528
ST579,7381 Jenkins Dr  McAllen  TX 79704,Outside Radius,26.2623,-98.2761
ST580,919 Lopez Ave  El Paso  TX 79163,Outside Radius,31.7707,-106.408
ST581,5408 Hernandez Ave  McAllen  TX 75633,Outside Radius,26.2678,-98.2281
